PD26636a.ascat_ngs.summary.csv:1,1,13116,120508524,2,1,2,1
PD26636a.ascat_ngs.summary.csv:2,1,120511386,121484236,2,1,3,1
PD26636a.ascat_ngs.summary.csv:3,1,142535439,142685963,2,1,2,0
PD26636a.ascat_ngs.summary.csv:4,1,142688347,142781170,2,1,1,0
PD26636a.ascat_ngs.summary.csv:5,1,142782841,144027385,2,1,2,0
PD26636a.ascat_ngs.summary.csv:6,1,144043409,173780119,2,1,2,1
PD26636a.ascat_ngs.summary.csv:7,1,173782007,174475205,2,1,3,1
PD26636a.ascat_ngs.summary.csv:8,1,174476714,248595676,2,1,2,1
PD26636a.ascat_ngs.summary.csv:9,1,248596833,249239902,2,1,3,1
PD26636a.ascat_ngs.summary.csv:10,2,10587,216205167,2,1,2,1
PD26636a.ascat_ngs.summary.csv:11,2,216206779,217160363,2,1,3,1
PD26636a.ascat_ngs.summary.csv:12,2,217161468,243187487,2,1,2,1
PD26636a.ascat_ngs.summary.csv:13,3,60197,51633843,2,1,2,1
PD26636a.ascat_ngs.summary.csv:14,3,51638465,58400414,2,1,1,0
PD26636a.ascat_ngs.summary.csv:15,3,58401480,58564437,2,1,2,0
PD26636a.ascat_ngs.summary.csv:16,3,58565522,58595759,2,1,1,0
PD26636a.ascat_ngs.summary.csv:17,3,58596791,64779072,2,1,2,1
PD26636a.ascat_ngs.summary.csv:18,3,64780738,64792082,2,1,6,3
PD26636a.ascat_ngs.summary.csv:19,3,64793523,122570337,2,1,2,1
PD26636a.ascat_ngs.summary.csv:20,3,122571435,122700143,2,1,2,0
PD26636a.ascat_ngs.summary.csv:21,3,122701790,197908615,2,1,2,1
PD26636a.ascat_ngs.summary.csv:22,4,11961,191043877,2,1,1,0
PD26636a.ascat_ngs.summary.csv:23,5,11882,68707372,2,1,2,1
PD26636a.ascat_ngs.summary.csv:24,5,68708611,70694705,2,1,2,0
PD26636a.ascat_ngs.summary.csv:25,5,70695751,177152639,2,1,2,1
PD26636a.ascat_ngs.summary.csv:26,5,177155528,177344246,2,1,2,0
PD26636a.ascat_ngs.summary.csv:27,5,177347960,180790901,2,1,2,1
PD26636a.ascat_ngs.summary.csv:28,6,100116,104321702,2,1,2,1
PD26636a.ascat_ngs.summary.csv:29,6,104322825,104540651,2,1,2,0
PD26636a.ascat_ngs.summary.csv:30,6,104542037,171049557,2,1,2,1
